기간,지역,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2020,합계,"9,911,088","4,816,522","5,094,566","1,568,331","693,259","875,072","1,561,139","689,428","871,711","7,192","3,831","3,361"
2020,종로구,"158,996","76,876","82,120","28,507","12,650","15,857","28,311","12,536","15,775",196,114,82
2020,중구,"134,635","65,776","68,859","24,495","10,834","13,661","24,174","10,652","13,522",321,182,139
2020,용산구,"244,645","118,835","125,810","40,247","17,119","23,128","39,779","16,833","22,946",468,286,182
2020,성동구,"300,505","146,424","154,081","45,603","19,904","25,699","45,435","19,810","25,625",168,94,74
2020,광진구,"360,109","173,000","187,109","50,560","22,621","27,939","50,311","22,500","27,811",249,121,128
2020,동대문구,"357,014","175,322","181,692","61,796","27,482","34,314","61,612","27,398","34,214",184,84,100
2020,중랑구,"399,562","197,118","202,444","69,447","31,098","38,349","69,341","31,049","38,292",106,49,57
2020,성북구,"447,056","214,658","232,398","73,770","31,721","42,049","73,613","31,651","41,962",157,70,87
2020,강북구,"311,569","151,466","160,103","63,422","27,275","36,147","63,313","27,225","36,088",109,50,59
2020,도봉구,"327,361","159,420","167,941","62,059","27,726","34,333","62,009","27,704","34,305",50,22,28
2020,노원구,"527,032","254,188","272,844","85,489","36,080","49,409","85,420","36,050","49,370",69,30,39
2020,은평구,"484,043","231,998","252,045","85,187","36,850","48,337","85,010","36,758","48,252",177,92,85
2020,서대문구,"322,952","153,152","169,800","54,204","22,990","31,214","53,756","22,761","30,995",448,229,219
2020,마포구,"381,858","178,977","202,881","54,331","22,800","31,531","54,002","22,632","31,370",329,168,161
2020,양천구,"457,781","224,379","233,402","65,670","29,487","36,183","65,541","29,422","36,119",129,65,64
2020,강서구,"585,901","282,686","303,215","88,984","39,204","49,780","88,733","39,051","49,682",251,153,98
2020,구로구,"432,488","215,424","217,064","70,198","31,986","38,212","69,201","31,419","37,782",997,567,430
2020,금천구,"247,835","126,141","121,694","39,842","18,153","21,689","39,314","17,869","21,445",528,284,244
2020,영등포구,"407,367","202,969","204,398","61,688","27,856","33,832","60,663","27,298","33,365","1,025",558,467
2020,동작구,"401,572","193,718","207,854","65,190","28,407","36,783","64,928","28,274","36,654",262,133,129
2020,관악구,"509,803","255,211","254,592","78,875","35,108","43,767","78,430","34,880","43,550",445,228,217
2020,서초구,"429,025","205,282","223,743","60,169","27,205","32,964","60,072","27,155","32,917",97,50,47
2020,강남구,"544,055","260,378","283,677","75,096","33,656","41,440","74,959","33,589","41,370",137,67,70
2020,송파구,"673,926","325,080","348,846","93,483","43,116","50,367","93,309","43,036","50,273",174,80,94
2020,강동구,"463,998","228,044","235,954","70,019","31,931","38,088","69,903","31,876","38,027",116,55,61
