시군구,2017,2018,2019,2020
합계,5357,5761,5912,5056
종로구,192,191,184,147
중구,156,164,151,161
용산구,163,170,144,95
성동구,161,158,162,158
동대문구,313,327,315,289
성북구,285,228,262,214
도봉구,170,190,189,160
은평구,195,244,246,195
서대문구,166,203,211,137
마포구,208,191,192,148
강서구,231,210,276,232
구로구,203,242,230,201
영등포구,328,350,341,296
동작구,200,225,203,199
관악구,184,182,194,209
강남구,324,351,352,359
강동구,221,242,286,196
송파구,321,373,395,336
서초구,237,290,284,247
양천구,177,209,237,198
중랑구,250,254,276,242
노원구,212,245,297,244
광진구,146,133,128,102
강북구,200,246,217,161
금천구,114,143,140,130
