연번,자치구,시설명,위치,지정일,비고
1,종로구,종로노인종합복지관,이화동,2009,  
2,종로구,종로노인종합복지관 무악센터,무악동,2016,  
3,종로구,서울노인복지센터,경운동,2016,  
4,종로구,락희거리,낙원동,2017,  
5,종로구,종묘광장공원 동순라길,인의동,2018,  
6,중구,신당6동 노인복지관,신당6동,2008,  
7,중구,신일경로당,장충동,2017,  
8,중구,묵정경로당,묵정동,2010,  
9,중구,필동경로당,필동2가,2019,  
10,중구,장수경로당,신당동,2019,  
11,중구,동호경로당,신당동,2019,  
12,중구,충현경로당,신당동,2019,  
13,중구,신당5동경로당,신당동,2019,  
14,용산구,용산노인종합복지관,한남동,2008,  
15,용산구,송학당경로당,용문동,2016,  
16,용산구,구립한남노인요양원,한남동,2017,  
17,용산구,효창공원,효창동,2018,  
18,성동구,성동노인종합복지관,마장동,2007,  
19,성동구,동부노인전문요양센터,홍익동,2010,  
20,성동구,성동치매지원센터,성수1가제2동,2016,  
21,성동구,왕십리제일경로당,하왕십리동,2017,  
22,성동구,성삼경로당,성수2가제3동,2018,  
23,광진구,광진노인종합복지관,군자동,2009,  
24,광진구,국가유공자경로당,구의3동,2016,  
25,광진구,대원경로당,중곡4동,2016,  
26,광진구,구의경로당,구의1동,2018,  
27,광진구,제2경로당,중곡1동,2019,  
28,동대문,동대문노인종합복지관,청량리동,2008,  
29,동대문,증산경로당,답십리동,2010,  
30,동대문,행복마을경로당,제기동,2016,  
31,동대문,사.대한노인회,전농동,2017,  
32,동대문,장평경로당,장안동,2018,  
33,동대문,경동요양병원,청량리동,2018,  
34,동대문,은천노인복지센터,장안동,2020,  
35,중랑구,시립중랑노인종합복지관,면목동,2008,  
36,중랑구,시립중랑노인전문요양원,망우동,2010,  
37,중랑구,신내노인종합복지관,신내동,2015,  
38,성북구,성북노인종합복지관,종암동,2008,  
39,성북구,상월곡실버복지센터,상월곡동,2010,  
40,성북구,정릉실버복지센터,정릉동,2012,  
41,성북구,석관실버복지센터,석관동,2017,  
42,성북구,정릉1동커뮤니티,정릉1동,2018,  
43,성북구,대한노인회성북지회,안암동,2019,  
44,성북구,삼선실버복지센터,삼선동,2020,  
45,강북구,강북노인종합복지관,인수동122,2009,  
46,강북구,강북노인회관,삼양로280-1,2018,  
47,도봉구,도봉노인종합복지관,쌍문동,2011,  
48,도봉구,도봉동노인복지센터,도봉동,2008,  
49,노원구,홍파복지원,상계동,2008,  
50,노원구,하계실버센터,하계동,2009,  
51,노원구,시립중계노인전문요양원,중계동,2012,  
52,노원구,시립노원노인종합복지관,하계동,2016,  
53,노원구,공릉어르신복지센터,공릉동,2014,  
54,노원구,월계종합사회복지관,월계동,2017,  
55,은평구,갈현노인복지관,갈현동,2008,  
56,은평구,응암노인복지관,응암동,2010,  
57,은평구,시립은평노인종합복지관,진관동,2010,  
58,은평구,불광노인복지관,불광동,2011,  
59,은평구,구립신사노인복지관,신사동,2011,  
60,은평구,역촌노인복지관,역촌동,2016,  
61,은평구,구산거북경로당,구산동,2017,  
62,은평구,대조노인복지관,대조동,2018,  
63,은평구,구산경로당,구산동,2019,  
64,은평구,여기소경로당,진관동,2020,  
65,서대문구,서대문노인종합복지관,영천동,2008,  
66,서대문구,서대문노인전문요양센터,홍은동,2010,  
67,서대문구,연희노인여가복지시설,연희동,2018,  
68,서대문구,실버스토리,연희동,2019,  
69,서대문구,연희시니어스,연희동,2020,  
70,마포구,마포노인종합복지관,창전동,2009,  
71,마포구,공덕1경로당,공덕동,2016,  
72,마포구,창전데이케어센터,서강동,2016,  
73,마포구,한서데이케어센터,창전동,2017,  
74,마포구,용강노인복지관,용강동,2018,  
75,마포구,성산노인복지센터,성산동,2019,  
76,양천구,금실경로당,신월7동,2008,  
77,양천구,구립양천노인요양센터,신정3동,2012,  
78,양천구,장수공원,신월2동,2013,  
79,양천구,오솔길근린공원,신월7동,2013,  
80,양천구,오금경로당,신정7동,2015,  
81,양천구,밝은내어르신복지센터,신월2동,2016,  
82,양천구,양천어르신종합복지관,신정7동,2017,  
83,강서구,강서노인종합복지관,등촌3동,2008,  
84,강서구,등촌4종합복지관경로당,등촌3동,2008,  
85,강서구,천사노인요양원,화곡3동,2010,  
86,강서구,시니어스타워㈜가양타워,등촌1동,2011,  
87,강서구,곰달래어르신복지센터,화곡8동,2013,  
88,강서구,봉제산어르신복지센터,화곡본동,2013,  
89,강서구,연지어르신복지센터,화곡6동,2013,  
90,강서구,화곡노인복지센터,화곡1동,2014,  
91,강서구,호선실버센터,발산1동,2014,  
92,강서구,봄날서울요양원,방화동,2015,  
93,강서구,봄날실버센터,방화동,2015,  
94,강서구,평안요양원,마곡동,2015,  
95,강서구,참사랑실버케어,화곡본동,2016,  
96,구로구,구로시립노인종합복지관,구로동,2008,  
97,구로구,삼농실버마을,오류동,2015,  
98,구로구,궁동종합사회복지관,궁동,2020,  
99,금천구,금천노인종합복지관,시흥1동 ,2008,  
100,금천구,호암노인복지관,독산동,2012,  
101,금천구,시흥경로당,시흥동,2016,  
102,금천구,금산경로당,시흥동,2016,  
103,영등포구,영등포노인종합복지관,도림로 482,2007,  
104,영등포구,영등포공원,신길로 275,2017,  
105,영등포구,메낙골공원,신길1동 4934-4,2018,  
106,영등포구,대림어린이공원,대림로 106,2019,  
107,동작구,동작노인종합복지관,대방동335-10,2008,  
108,동작구,사당노인복지관,사당동 1044-41,2012,  
109,동작구,한마음경로당,만양로4길 38,2015,  
110,동작구,청운노인복지센터,국사봉1길 145,2016,  
111,동작구,청송경로당,상도로52길 23,2017,  
112,동작구,낙원경로당,상도로30길73,2018,  
113,동작구,청남노인요양공동생활가정,강남초등8길 20,2019,  
114,동작구,녹십초 재활요양병원,시흥대로634,2020,  
115,관악구,관악노인복지관,보라매동,2007,  
116,관악구,동명노인복지센터,보라매동,2014,  
117,관악구,덕진경로당,낙성대동,2015,  
118,관악구,백설경로당,낙성대동,2015,  
119,관악구,관악시니어클럽,행운동,2016,  
120,관악구,관악구민 종합체육센터,낙성대동,2017,  
121,관악구,미성요양원,미성동,2018,  
122,관악구,관악산공원,대학동,2019,  
123,관악구,예촌경로당,남현동,2020,  
124,서초구,방배노인종합복지관,방배동,2009,  
125,서초구,양재노인종합복지관,양재동,2013,  
126,서초구,중앙노인종합복지관,서초동,2013,  
127,서초구,서초구립노인요양센터,서초동,2016,  
128,서초구,양재종합사회복지관,양재동,2016,  
129,서초구,서초성심노인복지센터,서초동,2017,  
130,서초구,서초구립방배2동 제2구립경로당,방배동,2018,  
131,서초구,탑성마을 경로덩,내곡동,2018,  
132,서초구,서초느티나무쉼터,서초동,2019,  
133,강남구,논현노인종합복지관,논현동,2008,  
134,강남구,강남노인종합복지관,삼성동,2010,  
135,강남구,한마음경로당,논현동,2011,  
136,강남구,강남시니어플라자,역삼동,2013,  
137,강남구,대치노인복지센터,대치동,2013,  
138,강남구,강남스포츠문화센터,수서동,2014,  
139,강남구,학수정노인복지,신사동,2014,  
140,강남구,압구정노인복지,신사동,2014,  
141,강남구,대한노인회강남,청담동,2014,  
142,강남구,서울요양원,세곡동,2015,  
143,강남구,서울시니어스타워 강남,자곡동,2018,  
144,강남구,더시그넘하우스,자곡동,2019,  
145,송파구,송파노인종합복지관,삼전동,2008,  
146,송파구,송파노인요양센터,장지동,2010,  
147,송파구,송파구노인회관,송파동,2016,  
148,송파구,남천경로당,마천동,2016,  
149,송파구,돌마리경로당,석촌동,2017,  
150,송파구,풍납제1경로당,풍납동,2018,  
151,송파구,오금경로당,오금동,2019,  
152,송파구,거여새마을경로당,거여동,2020,  
153,송파구,마천경로당,마천동,2020,  
154,송파구,방이경로당,방이동,2020,  
155,송파구,왕천경로당,방이동,2020,  
156,강동구,서울시립양로원,고덕동,2009,  
157,강동구,구립해공노인복지관,천호동,2013,  
158,강동구,강동노인회관,명일동,2014,  
159,강동구,성내천경로당,성내동,2014,  
160,강동구,성암장수마을요양원,성내동,2016,  
161,강동구,강동노인종합복지관,명일동,2018,  
162,강동구,쉼터경로당,천호동,2019,  
163,강동구,구립강암경로당,암사동,2020,  
